training_rank,lookback,lookforward,train_trades,train_dropped_data_end_trades,train_win_rate_pct,train_avg_r,train_median_r,train_profit_factor,train_total_return_pct,train_ambiguous_intrabar_events,train_ambiguous_pct,validation_trades,validation_dropped_data_end_trades,validation_win_rate_pct,validation_avg_r,validation_median_r,validation_profit_factor,validation_total_return_pct,validation_ambiguous_intrabar_events,validation_ambiguous_pct,full_trades,full_dropped_data_end_trades,full_win_rate_pct,full_avg_r,full_median_r,full_profit_factor,full_total_return_pct,full_ambiguous_intrabar_events,full_ambiguous_pct
,5,1,,,,,,,,,,,,,,,,,,,8282,0,25.27,0.0029,0.0,0.9946,-8.05,375,4.53
,5,2,,,,,,,,,,,,,,,,,,,7515,1,25.07,-0.0132,0.0,0.9579,-48.67,310,4.13
,5,3,,,,,,,,,,,,,,,,,,,6766,1,25.72,0.0164,0.0,1.0298,47.09,266,3.93
,5,4,,,,,,,,,,,,,,,,,,,6259,1,26.27,0.0292,0.0,1.0502,112.67,257,4.11
,6,1,,,,,,,,,,,,,,,,,,,7517,0,25.38,-0.0028,0.0,0.9817,-24.99,329,4.38
,6,2,,,,,,,,,,,,,,,,,,,6794,1,25.36,-0.0079,0.0,0.9743,-34.65,277,4.08
,7,1,,,,,,,,,,,,,,,,,,,6861,0,25.19,-0.0006,0.0,0.9861,-17.56,289,4.21
,7,2,,,,,,,,,,,,,,,,,,,6291,1,25.43,-0.0002,0.0,0.9897,-14.22,252,4.01
,7,5,,,,,,,,,,,,,,,,,,,5008,1,26.64,0.0399,0.0,1.0756,138.72,199,3.97
,7,6,,,,,,,,,,,,,,,,,,,4709,1,26.38,0.0344,0.0,1.0547,98.69,189,4.01
,7,7,,,,,,,,,,,,,,,,,,,4549,1,26.12,0.0257,0.0,1.0413,60.01,194,4.26
,8,1,,,,,,,,,,,,,,,,,,,6274,0,24.88,-0.0116,0.0,0.9651,-40.41,239,3.81
,8,2,,,,,,,,,,,,,,,,,,,5831,1,25.19,-0.0019,0.0,0.9866,-17.67,226,3.88
,8,3,,,,,,,,,,,,,,,,,,,5281,1,25.75,0.0295,0.0,1.0486,89.16,210,3.98
,8,4,,,,,,,,,,,,,,,,,,,4708,1,26.44,0.0331,0.0,1.0623,92.59,169,3.59
,8,5,,,,,,,,,,,,,,,,,,,4594,1,26.6,0.0433,0.0,1.083,139.48,177,3.85
,8,6,,,,,,,,,,,,,,,,,,,4341,1,26.54,0.0371,0.0,1.0612,99.43,171,3.94
,8,7,,,,,,,,,,,,,,,,,,,4281,1,26.19,0.028,0.0,1.0489,63.34,172,4.02
,8,8,,,,,,,,,,,,,,,,,,,4128,0,25.48,0.0097,0.0,1.0096,10.13,169,4.09
,9,1,,,,,,,,,,,,,,,,,,,5830,0,24.56,-0.0201,0.0,0.9504,-51.7,211,3.62
,9,2,,,,,,,,,,,,,,,,,,,5409,1,25.18,-0.0009,0.0,0.988,-14.3,212,3.92
,9,3,,,,,,,,,,,,,,,,,,,4788,1,25.86,0.0361,0.0,1.0655,108.4,185,3.86
,9,4,,,,,,,,,,,,,,,,,,,4326,1,26.05,0.0259,0.0,1.0459,56.19,152,3.51
,9,5,,,,,,,,,,,,,,,,,,,4222,1,26.43,0.0407,0.0,1.0814,111.46,164,3.88
,9,6,,,,,,,,,,,,,,,,,,,3966,1,26.12,0.0325,0.0,1.0557,71.22,157,3.96
,9,7,,,,,,,,,,,,,,,,,,,3912,1,26.12,0.032,0.0,1.0618,68.65,158,4.04
,9,8,,,,,,,,,,,,,,,,,,,3789,0,25.26,0.0071,0.0,1.0047,4.18,153,4.04
,9,9,,,,,,,,,,,,,,,,,,,3750,0,24.88,-0.0005,-1.0,0.9873,-9.84,149,3.97
,10,1,,,,,,,,,,,,,,,,,,,5471,0,24.6,-0.0155,-1.0,0.9581,-42.65,192,3.51
,10,2,,,,,,,,,,,,,,,,,,,5069,1,24.92,-0.0014,0.0,0.9865,-14.6,198,3.91
,10,3,,,,,,,,,,,,,,,,,,,4467,1,25.59,0.0385,0.0,1.0725,109.0,171,3.83
,10,4,,,,,,,,,,,,,,,,,,,4109,1,25.99,0.036,0.0,1.0708,88.22,155,3.77
,10,5,,,,,,,,,,,,,,,,,,,3967,1,26.39,0.0456,0.0,1.0979,123.34,152,3.83
,10,6,,,,,,,,,,,,,,,,,,,3727,1,26.13,0.0322,0.0,1.0568,65.68,143,3.84
,10,7,,,,,,,,,,,,,,,,,,,3671,1,26.34,0.0316,0.0,1.0613,62.53,142,3.87
,10,8,,,,,,,,,,,,,,,,,,,3535,0,25.83,0.0218,0.0,1.037,34.3,130,3.68
,10,9,,,,,,,,,,,,,,,,,,,3530,0,25.1,0.0045,0.0,0.9991,-0.66,137,3.88
,10,10,,,,,,,,,,,,,,,,,,,3461,0,25.77,0.011,0.0,1.0144,11.24,153,4.42
,11,1,,,,,,,,,,,,,,,,,,,5175,1,24.56,-0.0193,0.0,0.9551,-46.35,195,3.77
,11,2,,,,,,,,,,,,,,,,,,,4744,1,25.34,0.0036,0.0,0.9973,-3.13,186,3.92
,11,3,,,,,,,,,,,,,,,,,,,4235,1,26.14,0.0475,0.0,1.0977,143.13,161,3.8
,11,4,,,,,,,,,,,,,,,,,,,3970,1,26.2,0.0378,0.0,1.0748,90.74,148,3.73
,11,5,,,,,,,,,,,,,,,,,,,3853,1,26.16,0.0361,0.0,1.0802,81.96,146,3.79
,11,6,,,,,,,,,,,,,,,,,,,3638,1,26.14,0.0302,0.0,1.059,58.09,131,3.6
,11,7,,,,,,,,,,,,,,,,,,,3558,1,26.45,0.0379,0.0,1.0835,79.16,137,3.85
,11,8,,,,,,,,,,,,,,,,,,,3386,0,26.08,0.0269,0.0,1.0497,44.56,133,3.93
,11,9,,,,,,,,,,,,,,,,,,,3389,0,25.32,0.0207,0.0,1.0382,29.99,138,4.07
,11,10,,,,,,,,,,,,,,,,,,,3334,0,25.58,0.0183,0.0,1.0298,24.59,152,4.56
,12,1,,,,,,,,,,,,,,,,,,,4829,1,24.73,-0.0149,0.0,0.9627,-37.81,186,3.85
,12,2,,,,,,,,,,,,,,,,,,,4415,1,25.69,0.0165,0.0,1.0214,28.62,180,4.08
,12,4,,,,,,,,,,,,,,,,,,,3782,1,26.65,0.0516,0.0,1.1152,139.4,145,3.83
,12,5,,,,,,,,,,,,,,,,,,,3705,1,26.34,0.0448,0.0,1.1053,108.61,149,4.02
,12,6,,,,,,,,,,,,,,,,,,,3495,1,26.21,0.0338,0.0,1.0669,65.09,130,3.72
,12,7,,,,,,,,,,,,,,,,,,,3431,1,26.49,0.049,0.0,1.1134,111.86,133,3.88
,12,8,,,,,,,,,,,,,,,,,,,3233,0,26.23,0.0418,0.0,1.0851,80.66,127,3.93
,12,9,,,,,,,,,,,,,,,,,,,3235,0,25.5,0.0278,0.0,1.0575,44.39,133,4.11
,12,10,,,,,,,,,,,,,,,,,,,3166,0,25.9,0.0341,0.0,1.0629,58.12,141,4.45
,13,1,,,,,,,,,,,,,,,,,,,4594,1,24.53,-0.0237,-1.0,0.9463,-48.03,176,3.83
,13,2,,,,,,,,,,,,,,,,,,,4233,1,25.61,0.012,0.0,1.0136,15.78,166,3.92
,13,4,,,,,,,,,,,,,,,,,,,3629,1,26.54,0.0493,0.0,1.107,122.01,138,3.8
,13,5,,,,,,,,,,,,,,,,,,,3511,1,26.8,0.0538,0.0,1.1289,135.11,146,4.16
,13,6,,,,,,,,,,,,,,,,,,,3311,1,26.85,0.0465,0.0,1.0982,98.23,122,3.68
,13,7,,,,,,,,,,,,,,,,,,,3264,0,26.84,0.06,0.0,1.1428,144.33,130,3.98
,13,8,,,,,,,,,,,,,,,,,,,3089,0,26.32,0.0502,0.0,1.1063,100.19,123,3.98
,13,9,,,,,,,,,,,,,,,,,,,3112,0,25.26,0.0219,0.0,1.0426,29.79,121,3.89
,13,10,,,,,,,,,,,,,,,,,,,3041,0,25.85,0.0408,0.0,1.0784,71.66,131,4.31
,14,1,,,,,,,,,,,,,,,,,,,4401,1,24.61,-0.0261,-1.0,0.9449,-49.33,162,3.68
,14,2,,,,,,,,,,,,,,,,,,,4026,1,25.43,-0.0002,-0.5,0.9891,-9.99,154,3.83
,14,3,,,,,,,,,,,,,,,,,,,3695,1,26.58,0.0541,0.0,1.1233,145.71,145,3.92
,14,4,,,,,,,,,,,,,,,,,,,3437,1,26.36,0.0285,0.0,1.0543,49.41,132,3.84
,14,5,,,,,,,,,,,,,,,,,,,3329,1,26.98,0.0448,0.0,1.0986,93.67,140,4.21
,14,6,,,,,,,,,,,,,,,,,,,3171,1,26.93,0.0423,0.0,1.0841,79.98,118,3.72
,14,7,,,,,,,,,,,,,,,,,,,3086,0,26.93,0.0587,0.0,1.1311,127.81,125,4.05
,14,9,,,,,,,,,,,,,,,,,,,2928,0,25.51,0.0314,0.0,1.0657,46.94,110,3.76
,14,10,,,,,,,,,,,,,,,,,,,2879,0,26.26,0.0531,0.0,1.1086,98.94,121,4.2
,15,1,,,,,,,,,,,,,,,,,,,4205,1,24.49,-0.0323,-1.0,0.9335,-54.14,155,3.69
,15,2,,,,,,,,,,,,,,,,,,,3892,1,25.13,0.0008,-1.0,0.9911,-8.06,143,3.67
,15,3,,,,,,,,,,,,,,,,,,,3563,1,26.07,0.0359,0.0,1.0727,72.3,135,3.79
,15,4,,,,,,,,,,,,,,,,,,,3310,1,25.89,0.0215,0.0,1.0371,30.94,124,3.75
,15,5,,,,,,,,,,,,,,,,,,,3220,1,26.99,0.046,0.0,1.1002,92.89,128,3.98
,15,6,,,,,,,,,,,,,,,,,,,3046,1,26.95,0.0479,0.0,1.1014,91.49,111,3.64
,15,7,,,,,,,,,,,,,,,,,,,2991,0,27.08,0.0595,0.0,1.134,124.84,116,3.88
,15,8,,,,,,,,,,,,,,,,,,,2855,0,26.69,0.0536,0.0,1.1063,99.25,107,3.75
,15,9,,,,,,,,,,,,,,,,,,,2833,0,25.77,0.0289,0.0,1.0584,40.08,100,3.53
,15,10,,,,,,,,,,,,,,,,,,,2777,0,26.61,0.0515,0.0,1.1031,89.74,109,3.93
,16,1,,,,,,,,,,,,,,,,,,,3953,1,25.09,-0.0043,0.0,0.9838,-16.66,157,3.97
,16,2,,,,,,,,,,,,,,,,,,,3734,1,25.39,0.0064,-1.0,1.0025,2.34,138,3.7
,16,3,,,,,,,,,,,,,,,,,,,3466,1,25.94,0.0263,-1.0,1.047,43.67,123,3.55
,16,4,,,,,,,,,,,,,,,,,,,3203,1,26.32,0.0265,-1.0,1.0465,40.52,117,3.65
,16,5,,,,,,,,,,,,,,,,,,,3132,1,27.01,0.0466,0.0,1.0953,90.97,126,4.02
,16,6,,,,,,,,,,,,,,,,,,,2971,1,27.03,0.0468,0.0,1.098,85.19,116,3.9
,16,7,,,,,,,,,,,,,,,,,,,2910,0,27.08,0.0612,0.0,1.1338,125.15,118,4.05
,16,8,,,,,,,,,,,,,,,,,,,2756,0,26.74,0.0519,0.0,1.1023,89.98,110,3.99
,16,9,,,,,,,,,,,,,,,,,,,2746,0,25.67,0.0266,0.0,1.0506,34.2,102,3.71
,16,10,,,,,,,,,,,,,,,,,,,2690,0,26.62,0.0483,0.0,1.0906,78.23,107,3.98
,17,1,,,,,,,,,,,,,,,,,,,3845,1,24.81,-0.0159,-1.0,0.9655,-32.89,152,3.95
,17,2,,,,,,,,,,,,,,,,,,,3586,1,25.32,0.0131,0.0,1.016,15.24,127,3.54
,17,3,,,,,,,,,,,,,,,,,,,3348,1,25.54,0.0149,0.0,1.021,17.78,118,3.52
,17,4,,,,,,,,,,,,,,,,,,,3097,1,25.96,0.0274,0.0,1.0505,40.81,117,3.78
,17,5,,,,,,,,,,,,,,,,,,,3055,1,27.17,0.0592,0.0,1.1305,127.74,115,3.76
,17,8,,,,,,,,,,,,,,,,,,,2678,0,27.0,0.0635,0.0,1.1335,117.95,103,3.85
,17,9,,,,,,,,,,,,,,,,,,,2646,0,26.11,0.0404,0.0,1.0813,59.43,97,3.67
,17,10,,,,,,,,,,,,,,,,,,,2589,0,26.84,0.0564,0.0,1.1063,93.73,100,3.86
,18,1,,,,,,,,,,,,,,,,,,,3724,1,24.68,-0.0183,-1.0,0.9596,-35.01,142,3.81
,18,2,,,,,,,,,,,,,,,,,,,3379,1,25.6,0.0263,0.0,1.0439,42.72,111,3.28
,18,3,,,,,,,,,,,,,,,,,,,3192,1,25.66,0.0254,0.0,1.0447,37.96,109,3.41
,18,4,,,,,,,,,,,,,,,,,,,2967,1,26.32,0.0381,0.0,1.0735,62.27,111,3.74
,18,5,,,,,,,,,,,,,,,,,,,2915,1,27.34,0.0638,0.0,1.1458,134.45,104,3.57
,18,7,,,,,,,,,,,,,,,,,,,2684,0,27.31,0.0756,0.0,1.1789,156.59,100,3.73
,18,8,,,,,,,,,,,,,,,,,,,2563,0,26.92,0.0616,0.0,1.1304,105.86,102,3.98
,18,9,,,,,,,,,,,,,,,,,,,2531,0,26.35,0.0415,0.0,1.0845,58.31,96,3.79
,18,10,,,,,,,,,,,,,,,,,,,2496,0,26.64,0.0557,0.0,1.1074,87.42,96,3.85
,19,1,,,,,,,,,,,,,,,,,,,3600,1,24.5,-0.0175,-1.0,0.9605,-33.25,131,3.64
,19,2,,,,,,,,,,,,,,,,,,,3282,1,25.59,0.0256,0.0,1.0414,39.68,102,3.11
,19,3,,,,,,,,,,,,,,,,,,,3079,1,25.66,0.0302,0.0,1.0561,47.0,104,3.38
,19,4,,,,,,,,,,,,,,,,,,,2870,1,26.45,0.0387,0.0,1.0748,61.25,102,3.55
,19,5,,,,,,,,,,,,,,,,,,,2829,1,27.43,0.0665,0.0,1.1425,137.25,99,3.5
,19,8,,,,,,,,,,,,,,,,,,,2470,0,27.25,0.0729,0.0,1.1522,130.06,94,3.81
,19,9,,,,,,,,,,,,,,,,,,,2434,0,26.71,0.0518,0.0,1.107,76.12,87,3.57
,20,1,,,,,,,,,,,,,,,,,,,3385,1,24.96,0.0059,-1.0,1.0012,1.17,122,3.6
,20,2,,,,,,,,,,,,,,,,,,,3147,1,24.98,0.0175,0.0,1.0233,21.2,98,3.11
,20,3,,,,,,,,,,,,,,,,,,,2974,1,25.35,0.0252,0.0,1.044,34.71,105,3.53
,20,4,,,,,,,,,,,,,,,,,,,2777,1,26.25,0.0338,0.0,1.0613,48.58,98,3.53
,20,5,,,,,,,,,,,,,,,,,,,2712,1,27.29,0.0649,0.0,1.1357,123.92,97,3.58
,20,6,,,,,,,,,,,,,,,,,,,2601,1,27.34,0.0642,0.0,1.1386,114.83,86,3.31
,20,9,,,,,,,,,,,,,,,,,,,2324,0,27.15,0.0598,0.0,1.1255,88.27,78,3.36
